Sbj,Acq,File,SSIM,PSNR,FSIM,VIF,LPIPS,AES,TG,NGS,GE,IE,Score
02-12-2020,MID00234,flirt_fnWMmoco.nii.gz,0.9800058603286743,43.174720764160156,0.49735552072525024,2.630936701136788e-12,0.27920839190483093,0.009033246692550016,0.00016375242112048316,1.833844159096586e-08,1191.842565758247,1419.5655517578125,4
02-12-2020,MID00234,flirt_fnmoco.nii.gz,0.9804785251617432,43.48091506958008,0.497355580329895,2.630936701136788e-12,0.27950239181518555,0.009059209545000802,0.0001635927892160104,1.829812096681594e-08,1191.2761798767174,1419.565673828125,4
02-12-2020,MID00234,flirt_nomoco.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.008981797293213405,0.00012809381231667158,1.4244143876980483e-08,1233.1653296034362,1419.565673828125,Not Found
02-12-2020,MID00234,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.008981797293213405,0.00012809381231667158,1.4244143876980483e-08,1233.1653296034362,1419.565673828125,4
02-12-2020,MID00234,flirt_tclmoco.nii.gz,0.9780322313308716,36.63338088989258,0.6539368629455566,0.17985296249389648,0.2071990668773651,0.008728908936224978,0.0005295010345540679,5.971217284442602e-08,1178.0685997103835,1219.3734130859375,4
02-12-2020,MID00234,flirt_tclmocos.nii.gz,0.97954261302948,36.92967987060547,0.5705006122589111,0.169009730219841,0.21168412268161774,0.008724435937578268,0.0006558506530484403,7.413310814151444e-08,1176.4091875747363,1220.34619140625,4
02-12-2020,MID00235,flirt_fnWMmoco.nii.gz,0.8076310157775879,30.358217239379883,0.5419557094573975,0.008060949854552746,0.2502305209636688,0.008384488518376993,0.0010826843653793008,1.2566343675993964e-07,1160.6747078882263,1219.4122314453125,3
02-12-2020,MID00235,flirt_fnmoco.nii.gz,0.8105147480964661,30.414127349853516,0.538309633731842,0.004585379268974066,0.24828387796878815,0.008438626415363163,0.0009754664784706905,1.1285431826822627e-07,1164.7213094609576,1218.7176513671875,3
02-12-2020,MID00235,flirt_nomoco.nii.gz,0.8190222978591919,30.018091201782227,0.6686809659004211,0.011998364701867104,0.20693030953407288,0.008132054378479695,0.0007288437936457158,8.804574777940409e-08,1180.207085757322,1206.15087890625,3
02-12-2020,MID00235,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.008981797293213405,0.00012809381231667158,1.4244143876980483e-08,1233.1653296034362,1419.565673828125,4
02-12-2020,MID00235,flirt_tclmoco.nii.gz,0.7552071213722229,29.744430541992188,0.687067985534668,0.00929539930075407,0.26325562596321106,0.008128414421501085,0.0008772486517814759,9.831435211791826e-08,1161.9175179770184,1226.8465576171875,3
02-12-2020,MID00235,flirt_tclmocos.nii.gz,0.7561613321304321,29.72235107421875,0.5765888690948486,0.004548822063952684,0.2575634717941284,0.008050281802974336,0.0009519027001195585,1.0639223678419028e-07,1158.19817860567,1216.5557861328125,3
02-12-2020,MID00237,flirt_fnWMmoco.nii.gz,0.5334141850471497,25.561731338500977,0.5535767078399658,0.009091723710298538,0.3477723300457001,0.008200635856885389,0.005083704425358896,5.472960040952648e-07,1063.482445691913,1179.0703125,2
02-12-2020,MID00237,flirt_fnmoco.nii.gz,0.5371355414390564,25.776111602783203,0.5543090105056763,0.009541203267872334,0.35595130920410156,0.008298625623206103,0.00545457522725184,5.923522104004833e-07,1059.6112494464085,1179.42529296875,2
02-12-2020,MID00237,flirt_nomoco.nii.gz,0.5475752353668213,26.37570571899414,0.5449084043502808,0.006176390685141087,0.3241490423679352,0.00843378498146439,0.0042110921564942816,4.802378656192443e-07,1062.8065743124148,1176.3243408203125,2
02-12-2020,MID00237,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.008981797293213405,0.00012809381231667158,1.4244143876980483e-08,1233.1653296034362,1419.565673828125,5
02-12-2020,MID00237,flirt_tclmoco.nii.gz,0.5014722943305969,24.016416549682617,0.8304280042648315,0.03844583034515381,0.3729376792907715,0.007689685139533982,0.004456737227548934,4.5145924806152383e-07,1065.9835405297808,1179.222412109375,2
02-12-2020,MID00237,flirt_tclmocos.nii.gz,0.5002759099006653,24.01169204711914,0.8299770355224609,0.03847610205411911,0.3738587498664856,0.007739742153819761,0.0046195061144012756,4.6737739224171155e-07,1064.8204199082238,1183.48193359375,2
11-11-2020,MID00367,flirt_fnWMmoco.nii.gz,0.9843182563781738,40.10130310058594,0.9718815088272095,0.5999923944473267,0.11360294371843338,0.008809950334334928,0.0026268587153790318,2.5138040254699174e-07,1105.3841040776554,1190.62646484375,4
11-11-2020,MID00367,flirt_fnmoco.nii.gz,0.9778921604156494,37.46220016479492,0.9705666899681091,0.5510770678520203,0.12104417383670807,0.008750236177495369,0.002635172668771774,2.542282166933983e-07,1093.0918534039342,1190.7484130859375,4
11-11-2020,MID00367,flirt_nomoco.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.008792171652648562,0.002857906077849391,2.7028758266477653e-07,1081.5530293186557,1180.553955078125,Not Found
11-11-2020,MID00367,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.008792171652648562,0.002857906077849391,2.7028758266477653e-07,1081.5530293186557,1180.553955078125,4
11-11-2020,MID00367,flirt_tclmoco.nii.gz,0.8793849349021912,28.67742919921875,0.7427664995193481,0.02671806700527668,0.2676190137863159,0.008234430791667875,0.0018206404972519205,1.7604967904598176e-07,1119.0948251992907,1170.55810546875,3
11-11-2020,MID00367,flirt_tclmocos.nii.gz,0.8973430395126343,28.79059600830078,0.6834887266159058,0.0026111765764653683,0.2871965169906616,0.008276366579110038,0.0004443666432878291,4.38168344447426e-08,1059.4779795353459,1160.98291015625,3
11-11-2020,MID00370,flirt_fnWMmoco.nii.gz,0.644646167755127,20.371618270874023,0.8226309418678284,0.005471286363899708,0.3628312051296234,0.007721712210687951,0.0013682283858541268,1.3008119798811207e-07,835.2629101601433,1053.0093994140625,2
11-11-2020,MID00370,flirt_fnmoco.nii.gz,0.6461355686187744,20.586063385009766,0.8141659498214722,0.005476673133671284,0.3618595600128174,0.007582622438522739,0.001358207997532967,1.3324823399563217e-07,858.9845364641807,1072.0379638671875,2
11-11-2020,MID00370,flirt_nomoco.nii.gz,0.594224214553833,19.945117950439453,0.7901070713996887,0.004043995402753353,0.3630271553993225,0.007612281863310724,0.001472584206385991,1.525242371128717e-07,1009.5496328559357,1200.74169921875,1
11-11-2020,MID00370,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.008792171652648562,0.002857906077849391,2.7028758266477653e-07,1081.5530293186557,1180.553955078125,5
11-11-2020,MID00370,flirt_tclmoco.nii.gz,0.572312593460083,19.035049438476562,0.7860105633735657,0.004661866929382086,0.4055340886116028,0.0070106629979350965,0.0013707590796108208,1.2759184504707795e-07,790.1235916059145,1076.7069091796875,2
11-11-2020,MID00370,flirt_tclmocos.nii.gz,0.5827937126159668,19.087278366088867,0.7880268096923828,0.004620146006345749,0.4027453064918518,0.006930400112709382,0.0013417186994027878,1.2466673646255454e-07,791.2710133939913,1077.09814453125,2
11-11-2020,MID00371,flirt_fnWMmoco.nii.gz,0.5807621479034424,19.630460739135742,0.8012970685958862,0.004771305713802576,0.39736324548721313,0.007397540543412499,0.0018021678715771147,1.659305781687163e-07,859.961295328781,1088.5433349609375,2
11-11-2020,MID00371,flirt_fnmoco.nii.gz,0.6039457321166992,20.020347595214844,0.8064871430397034,0.004809560254216194,0.3917819857597351,0.007353479151932525,0.001906202311066228,1.8062075284371497e-07,877.3711054339221,1090.102783203125,2
11-11-2020,MID00371,flirt_nomoco.nii.gz,0.5537489652633667,19.565011978149414,0.7708337903022766,0.004745929967612028,0.3923506736755371,0.0074996371271363075,0.0021303643255048787,2.1802885177345915e-07,1037.4258684585716,1197.713134765625,1
11-11-2020,MID00371,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.008792171652648562,0.002857906077849391,2.7028758266477653e-07,1081.5530293186557,1180.553955078125,4
11-11-2020,MID00371,flirt_tclmoco.nii.gz,0.5117887258529663,18.42453384399414,0.7662525773048401,0.004851510748267174,0.4349954426288605,0.006574215347787237,0.0019365731879903941,1.7361041085640117e-07,856.0779162352953,1080.5306396484375,2
11-11-2020,MID00371,flirt_tclmocos.nii.gz,0.5241149663925171,18.509326934814453,0.7711352705955505,0.004336079582571983,0.42556482553482056,0.006550788540833833,0.0019440280574208372,1.7438243908527563e-07,843.4791248609428,1073.521484375,2
18-11-2020,MID00291,flirt_fnWMmoco.nii.gz,0.9814158082008362,40.80016326904297,0.49590209126472473,1.6372990203211701e-12,0.2717524766921997,0.00812309207469791,0.00024380878797404144,2.3665125403810193e-08,1182.1135071279257,1419.5655517578125,4
18-11-2020,MID00291,flirt_fnmoco.nii.gz,0.9864832162857056,41.37055206298828,0.4959220290184021,1.6372990203211701e-12,0.27163299918174744,0.008228603501408124,0.00024556580720222883,2.387512414705612e-08,1184.77726299595,1419.5655517578125,4
18-11-2020,MID00291,flirt_nomoco.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.008246032726858922,0.0017275301101243802,1.6647148045945013e-07,1158.5844745377635,1229.1820068359375,Not Found
18-11-2020,MID00291,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.008246032726858922,0.0017275301101243802,1.6647148045945013e-07,1158.5844745377635,1229.1820068359375,4
18-11-2020,MID00291,flirt_tclmoco.nii.gz,0.8957340121269226,28.84832191467285,0.7037453055381775,0.0022635366767644882,0.2511627674102783,0.007977076828306692,0.00026190235755739184,2.5815958996726093e-08,1185.4673469682896,1265.310791015625,3
18-11-2020,MID00291,flirt_tclmocos.nii.gz,0.9307129383087158,29.18046760559082,0.8694789409637451,0.035704802721738815,0.25494185090065,0.008302875287323128,0.001094418416336044,1.0566692781668843e-07,1160.8391751499219,1204.1219482421875,3
18-11-2020,MID00294,flirt_fnWMmoco.nii.gz,0.6431875228881836,21.645517349243164,0.7695836424827576,0.005457622930407524,0.3642135560512543,0.007972710862896632,0.001239867631051696,1.1687885797198244e-07,1116.0732191649595,1240.3603515625,3
18-11-2020,MID00294,flirt_fnmoco.nii.gz,0.6613830327987671,23.634410858154297,0.7659719586372375,0.0060941302217543125,0.3364626467227936,0.008130034845302033,0.0012277739889795102,1.2035602871223953e-07,1126.8597069445482,1237.408935546875,2
18-11-2020,MID00294,flirt_nomoco.nii.gz,0.6121207475662231,22.974987030029297,0.743064820766449,0.0037303862627595663,0.3356969654560089,0.008011736555624894,0.001160826615741624,1.1832688693621922e-07,1150.6518580069908,1243.6536865234375,1
18-11-2020,MID00294,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.008246032726858922,0.0017275301101243802,1.6647148045945013e-07,1158.5844745377635,1229.1820068359375,4
18-11-2020,MID00294,flirt_tclmoco.nii.gz,0.5156233906745911,20.04677963256836,0.790817379951477,0.006971611641347408,0.4335115849971771,0.007393993292416318,0.0015895570876368315,1.4111775107136798e-07,1123.315314554759,1235.6226806640625,2
18-11-2020,MID00294,flirt_tclmocos.nii.gz,0.5272680521011353,20.244915008544922,0.8012598156929016,0.006648730020970106,0.43044665455818176,0.007595753635529293,0.0013574818017699167,1.2180562158540022e-07,1118.922161387813,1220.795166015625,2
18-11-2020,MID00295,flirt_fnWMmoco.nii.gz,0.5824023485183716,21.680946350097656,0.7858315706253052,0.010589242912828922,0.3844808042049408,0.008022354460546463,0.0025099414144648473,2.3171501701315907e-07,1120.1208966520494,1214.212890625,3
18-11-2020,MID00295,flirt_fnmoco.nii.gz,0.6093884110450745,22.878931045532227,0.7773501873016357,0.009542180225253105,0.3618276119232178,0.008031466113170264,0.0028521905346735816,2.7115357920313465e-07,1133.095174373351,1213.591796875,1
18-11-2020,MID00295,flirt_nomoco.nii.gz,0.5870360136032104,21.97652816772461,0.49553805589675903,1.6810523242524744e-12,0.3490300476551056,0.007867785118329581,0.00034244664709346236,3.558468219769979e-08,1139.0355455446932,1419.565673828125,1
18-11-2020,MID00295,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.008246032726858922,0.0017275301101243802,1.6647148045945013e-07,1158.5844745377635,1229.1820068359375,4
18-11-2020,MID00295,flirt_tclmoco.nii.gz,0.5228935480117798,20.318965911865234,0.8033082485198975,0.0107329236343503,0.42518386244773865,0.007434227633916678,0.002851662797919206,2.516636155996272e-07,1132.5195155600054,1211.50537109375,2
18-11-2020,MID00295,flirt_tclmocos.nii.gz,0.5389866232872009,20.421152114868164,0.8089768290519714,0.009911676868796349,0.420926034450531,0.007576476731139614,0.002499471859235714,2.2283227853740508e-07,1130.8496393913697,1220.0087890625,3
19-02-2021,MID00253,flirt_fnWMmoco.nii.gz,0.993152379989624,42.983604431152344,0.9503803849220276,0.6505332589149475,0.13132616877555847,0.009383797328492023,0.0010306213579095377,1.2547794177151266e-07,1223.3553832314121,1232.38818359375,4
19-02-2021,MID00253,flirt_fnmoco.nii.gz,0.9935829043388367,43.33317184448242,0.9519978761672974,0.6761398315429688,0.1292957365512848,0.009370100977082088,0.0010315059957504032,1.2400676356424914e-07,1232.280591203776,1232.9683837890625,4
19-02-2021,MID00253,flirt_nomoco.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.009292957359004837,0.0010118256653829155,1.2157693129285343e-07,1246.4943470868473,1254.6865234375,Not Found
19-02-2021,MID00253,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.009292957359004837,0.0010118256653829155,1.2157693129285343e-07,1246.4943470868473,1254.6865234375,4
19-02-2021,MID00253,flirt_tclmoco.nii.gz,0.9813467860221863,37.94639205932617,0.9451992511749268,0.26283958554267883,0.15211057662963867,0.009277919824208922,0.0009322858614469979,1.1644222527042166e-07,1221.2704088027274,1222.793701171875,4
19-02-2021,MID00253,flirt_tclmocos.nii.gz,0.9813894033432007,38.68901443481445,0.8766708970069885,0.1535620540380478,0.23253506422042847,0.009328208903098632,0.0009884756276630274,1.1981382120015264e-07,1222.8237959877135,1213.0908203125,4
19-02-2021,MID00254,flirt_fnWMmoco.nii.gz,0.820690393447876,26.431358337402344,0.8628066182136536,0.005257486365735531,0.2709045708179474,0.008815569603288753,0.0008524593893106142,1.0465070843594875e-07,1203.5758129432722,1236.4266357421875,4
19-02-2021,MID00254,flirt_fnmoco.nii.gz,0.8244296908378601,26.36927604675293,0.8614367246627808,0.005551298148930073,0.2693367898464203,0.008826278541309695,0.000868973403568367,1.0843460704421114e-07,1203.6310216962693,1221.3956298828125,4
19-02-2021,MID00254,flirt_nomoco.nii.gz,0.8039972186088562,25.982160568237305,0.86341392993927,0.0041898866184055805,0.22125034034252167,0.008826482827076342,0.0005269805269579785,6.68021301982889e-08,1215.5566267702725,1225.3353271484375,4
19-02-2021,MID00254,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.009292957359004837,0.0010118256653829155,1.2157693129285343e-07,1246.4943470868473,1254.6865234375,4
19-02-2021,MID00254,flirt_tclmoco.nii.gz,0.7784032821655273,26.127702713012695,0.8578249216079712,0.004259140230715275,0.26957541704177856,0.00879521884641477,0.000823077144917021,9.845552701146861e-08,1201.9383994820162,1221.5377197265625,4
19-02-2021,MID00254,flirt_tclmocos.nii.gz,0.786718487739563,26.17466163635254,0.862495481967926,0.004050569608807564,0.2641069293022156,0.008723619610113713,0.0007726433348345572,9.268294779406016e-08,1202.92236052605,1210.464111328125,4
19-02-2021,MID00256,flirt_fnWMmoco.nii.gz,0.821497917175293,24.12845230102539,0.8017767667770386,0.0028652173932641745,0.2385159432888031,0.00868462398304358,0.0005180419955042309,6.515917902040147e-08,1212.5548423193932,1212.6390380859375,4
19-02-2021,MID00256,flirt_fnmoco.nii.gz,0.8031982183456421,23.98893165588379,0.8129911422729492,0.002629909897223115,0.24362656474113464,0.008648550914893263,0.0005298876495506476,6.978350814583798e-08,1214.0023085291864,1216.4083251953125,4
19-02-2021,MID00256,flirt_nomoco.nii.gz,0.7194705009460449,23.060998916625977,0.8003228306770325,0.001996105769649148,0.2728816866874695,0.008654700186497105,0.00046837485635993134,6.590960048852521e-08,1215.8597234791032,1230.566650390625,1
19-02-2021,MID00256,flirt_ref.nii.gz,1.0,inf,1.0,0.9999998807907104,0.0,0.009292957359004837,0.0010118256653829155,1.2157693129285343e-07,1246.4943470868473,1254.6865234375,4
19-02-2021,MID00256,flirt_tclmoco.nii.gz,0.8014894723892212,23.35430908203125,0.8559914827346802,0.002818068489432335,0.23752374947071075,0.0083176589994935,0.0005266778082854796,6.460157143798205e-08,1212.4561017721203,1207.1378173828125,3
19-02-2021,MID00256,flirt_tclmocos.nii.gz,0.8054326772689819,23.496274948120117,0.8241941332817078,0.0026185426395386457,0.2372637540102005,0.008353004491342186,0.0005197691128097762,6.428191071726219e-08,1218.3412399872984,1232.9652099609375,4
19-02-2021,MID00257,flirt_fnWMmoco.nii.gz,0.8748823404312134,26.002056121826172,0.8640599250793457,0.00216377223841846,0.2499147653579712,0.008666565551154646,0.00047661257748123954,6.28412223110366e-08,1223.7183713074296,1244.2503662109375,5
19-02-2021,MID00257,flirt_fnmoco.nii.gz,0.8680592775344849,25.98444938659668,0.8657922744750977,0.002054025651887059,0.24819809198379517,0.008738012133183676,0.00048412806534399135,6.420078123776034e-08,1224.0235661012248,1241.032958984375,4
19-02-2021,MID00257,flirt_nomoco.nii.gz,0.7893335819244385,24.630823135375977,0.8398693203926086,0.001919944304972887,0.22495146095752716,0.008687900366869884,0.00045528570708798825,6.089929391871573e-08,1226.6171647060146,1234.973388671875,2
