Date,MID,MoCo,Score
26-11-2020,MID00032,ref,4
26-11-2020,MID00032,tclmoco,3
26-11-2020,MID00032,fnmoco,5
26-11-2020,MID00032,fnWMmoco,5
26-11-2020,MID00032,tclmocos,3
26-10-2020,MID00398,ref,5
26-10-2020,MID00398,tclmoco,4
26-10-2020,MID00398,fnmoco,5
26-10-2020,MID00398,fnWMmoco,5
26-10-2020,MID00398,tclmocos,5
25-11-2020,MID00017,ref,5
25-11-2020,MID00017,tclmoco,4
25-11-2020,MID00017,fnmoco,5
25-11-2020,MID00017,fnWMmoco,4
25-11-2020,MID00017,tclmocos,4
25-02-2021,MID00473,ref,4
25-02-2021,MID00473,tclmoco,3
25-02-2021,MID00473,fnmoco,4
25-02-2021,MID00473,fnWMmoco,4
25-02-2021,MID00473,tclmocos,4
23-11-2020,MID00384,ref,4
23-11-2020,MID00384,tclmoco,4
23-11-2020,MID00384,fnmoco,4
23-11-2020,MID00384,fnWMmoco,4
23-11-2020,MID00384,tclmocos,4
23-02-2021,MID00296,ref,4
23-02-2021,MID00296,tclmoco,3
23-02-2021,MID00296,fnmoco,4
23-02-2021,MID00296,fnWMmoco,4
23-02-2021,MID00296,tclmocos,4
20-11-2020,MID00305,ref,4
20-11-2020,MID00305,tclmoco,4
20-11-2020,MID00305,fnmoco,4
20-11-2020,MID00305,fnWMmoco,4
20-11-2020,MID00305,tclmocos,4
19-02-2021,MID00253,ref,4
19-02-2021,MID00253,tclmoco,4
19-02-2021,MID00253,fnmoco,4
19-02-2021,MID00253,fnWMmoco,4
19-02-2021,MID00253,tclmocos,4
18-11-2020,MID00291,ref,4
18-11-2020,MID00291,tclmoco,3
18-11-2020,MID00291,fnmoco,4
18-11-2020,MID00291,fnWMmoco,4
18-11-2020,MID00291,tclmocos,3
11-11-2020,MID00367,ref,4
11-11-2020,MID00367,tclmoco,3
11-11-2020,MID00367,fnmoco,4
11-11-2020,MID00367,fnWMmoco,4
11-11-2020,MID00367,tclmocos,3
02-12-2020,MID00234,ref,4
02-12-2020,MID00234,tclmoco,4
02-12-2020,MID00234,fnmoco,4
02-12-2020,MID00234,fnWMmoco,4
02-12-2020,MID00234,tclmocos,4
19-02-2021,MID00257,ref,4
19-02-2021,MID00257,nomoco,2
19-02-2021,MID00257,tclmoco,5
19-02-2021,MID00257,fnmoco,4
19-02-2021,MID00257,fnWMmoco,5
19-02-2021,MID00257,tclmocos,4
25-11-2020,MID00018,ref,4
25-11-2020,MID00018,nomoco,3
25-11-2020,MID00018,tclmoco,3
25-11-2020,MID00018,fnmoco,3
25-11-2020,MID00018,fnWMmoco,3
25-11-2020,MID00018,tclmocos,3
25-02-2021,MID00476,ref,4
25-02-2021,MID00476,nomoco,2
25-02-2021,MID00476,tclmoco,2
25-02-2021,MID00476,fnmoco,3
25-02-2021,MID00476,fnWMmoco,3
25-02-2021,MID00476,tclmocos,2
23-11-2020,MID00385,ref,4
23-11-2020,MID00385,nomoco,2
23-11-2020,MID00385,tclmoco,2
23-11-2020,MID00385,fnmoco,2
23-11-2020,MID00385,fnWMmoco,2
23-11-2020,MID00385,tclmocos,2
23-02-2021,MID00299,ref,4
23-02-2021,MID00299,nomoco,2
23-02-2021,MID00299,tclmoco,2
23-02-2021,MID00299,fnmoco,2
23-02-2021,MID00299,fnWMmoco,2
23-02-2021,MID00299,tclmocos,2
02-12-2020,MID00237,ref,5
02-12-2020,MID00237,nomoco,2
02-12-2020,MID00237,tclmoco,2
02-12-2020,MID00237,fnmoco,2
02-12-2020,MID00237,fnWMmoco,2
02-12-2020,MID00237,tclmocos,2
26-11-2020,MID00033,ref,4
26-11-2020,MID00033,nomoco,3
26-11-2020,MID00033,tclmoco,3
26-11-2020,MID00033,fnmoco,3
26-11-2020,MID00033,fnWMmoco,3
26-11-2020,MID00033,tclmocos,3
25-11-2020,MID00020,ref,4
25-11-2020,MID00020,nomoco,3
25-11-2020,MID00020,tclmoco,3
25-11-2020,MID00020,fnmoco,3
25-11-2020,MID00020,fnWMmoco,3
25-11-2020,MID00020,tclmocos,4
23-02-2021,MID00297,ref,5
23-02-2021,MID00297,nomoco,2
23-02-2021,MID00297,tclmoco,2
23-02-2021,MID00297,fnmoco,2
23-02-2021,MID00297,fnWMmoco,2
23-02-2021,MID00297,tclmocos,2
20-11-2020,MID00306,ref,4
20-11-2020,MID00306,nomoco,2
20-11-2020,MID00306,tclmoco,2
20-11-2020,MID00306,fnmoco,2
20-11-2020,MID00306,fnWMmoco,2
20-11-2020,MID00306,tclmocos,2
02-12-2020,MID00235,ref,4
02-12-2020,MID00235,nomoco,3
02-12-2020,MID00235,tclmoco,3
02-12-2020,MID00235,fnmoco,3
02-12-2020,MID00235,fnWMmoco,3
02-12-2020,MID00235,tclmocos,3
26-11-2020,MID00035,ref,4
26-11-2020,MID00035,nomoco,2
26-11-2020,MID00035,tclmoco,3
26-11-2020,MID00035,fnmoco,3
26-11-2020,MID00035,fnWMmoco,3
26-11-2020,MID00035,tclmocos,3
26-10-2020,MID00402,ref,4
26-10-2020,MID00402,nomoco,2
26-10-2020,MID00402,tclmoco,3
26-10-2020,MID00402,fnmoco,2
26-10-2020,MID00402,fnWMmoco,2
26-10-2020,MID00402,tclmocos,3
23-11-2020,MID00387,ref,4
23-11-2020,MID00387,nomoco,2
23-11-2020,MID00387,tclmoco,3
23-11-2020,MID00387,fnmoco,3
23-11-2020,MID00387,fnWMmoco,3
23-11-2020,MID00387,tclmocos,3
20-11-2020,MID00308,ref,4
20-11-2020,MID00308,nomoco,2
20-11-2020,MID00308,tclmoco,3
20-11-2020,MID00308,fnmoco,2
20-11-2020,MID00308,fnWMmoco,2
20-11-2020,MID00308,tclmocos,3
18-11-2020,MID00294,ref,4
18-11-2020,MID00294,nomoco,1
18-11-2020,MID00294,tclmoco,2
18-11-2020,MID00294,fnmoco,2
18-11-2020,MID00294,fnWMmoco,3
18-11-2020,MID00294,tclmocos,2
11-11-2020,MID00370,ref,5
11-11-2020,MID00370,nomoco,1
11-11-2020,MID00370,tclmoco,2
11-11-2020,MID00370,fnmoco,2
11-11-2020,MID00370,fnWMmoco,2
11-11-2020,MID00370,tclmocos,2
19-02-2021,MID00256,ref,4
19-02-2021,MID00256,nomoco,1
19-02-2021,MID00256,tclmoco,3
19-02-2021,MID00256,fnmoco,4
19-02-2021,MID00256,fnWMmoco,4
19-02-2021,MID00256,tclmocos,4
25-02-2021,MID00478,ref,4
25-02-2021,MID00478,nomoco,3
25-02-2021,MID00478,tclmoco,3
25-02-2021,MID00478,fnmoco,3
25-02-2021,MID00478,fnWMmoco,3
25-02-2021,MID00478,tclmocos,3
25-02-2021,MID00475,ref,4
25-02-2021,MID00475,nomoco,2
25-02-2021,MID00475,tclmoco,1
25-02-2021,MID00475,fnmoco,2
25-02-2021,MID00475,fnWMmoco,2
25-02-2021,MID00475,tclmocos,2
19-02-2021,MID00254,ref,4
19-02-2021,MID00254,nomoco,4
19-02-2021,MID00254,tclmoco,4
19-02-2021,MID00254,fnmoco,4
19-02-2021,MID00254,fnWMmoco,4
19-02-2021,MID00254,tclmocos,4
26-11-2020,MID00036,ref,4
26-11-2020,MID00036,nomoco,1
26-11-2020,MID00036,tclmoco,2
26-11-2020,MID00036,fnmoco,2
26-11-2020,MID00036,fnWMmoco,2
26-11-2020,MID00036,tclmocos,2
26-10-2020,MID00403,ref,4
26-10-2020,MID00403,nomoco,1
26-10-2020,MID00403,tclmoco,2
26-10-2020,MID00403,fnmoco,2
26-10-2020,MID00403,fnWMmoco,2
26-10-2020,MID00403,tclmocos,3
23-11-2020,MID00388,ref,4
23-11-2020,MID00388,nomoco,1
23-11-2020,MID00388,tclmoco,2
23-11-2020,MID00388,fnmoco,2
23-11-2020,MID00388,fnWMmoco,2
23-11-2020,MID00388,tclmocos,2
20-11-2020,MID00309,ref,4
20-11-2020,MID00309,nomoco,1
20-11-2020,MID00309,tclmoco,3
20-11-2020,MID00309,fnmoco,2
20-11-2020,MID00309,fnWMmoco,2
20-11-2020,MID00309,tclmocos,3
18-11-2020,MID00295,ref,4
18-11-2020,MID00295,nomoco,1
18-11-2020,MID00295,tclmoco,2
18-11-2020,MID00295,fnmoco,1
18-11-2020,MID00295,fnWMmoco,3
18-11-2020,MID00295,tclmocos,3
11-11-2020,MID00371,ref,4
11-11-2020,MID00371,nomoco,1
11-11-2020,MID00371,tclmoco,2
11-11-2020,MID00371,fnmoco,2
11-11-2020,MID00371,fnWMmoco,2
11-11-2020,MID00371,tclmocos,2